material_id,formula_pretty,energy_above_hull,formation_energy_per_atom,is_stable,density,volume,nsites,band_gap,is_metal,theoretical,working_ion,framework_formula,n_possible_working_ions,pred_average_voltage,pred_max_delta_volume,volume_prediction_valid,pareto
mp-19403,Ba2CaMoO6,0.0,-2.9021457209999992,True,5.478714234142895,153.56571582872633,10,2.2618000000000005,False,False,Ca,Ba2MoO6,1,1.742248,0.08598875254392624,True,False
mp-1214679,Ba2CaNbO6,0.045699657000000116,-3.0878185780000003,False,5.223806074817249,160.09499906372125,10,0.0,True,True,Ca,Ba2NbO6,1,2.5312169,0.08598875254392624,True,False
mp-6739,Ba2CaOsO6,0.0,-2.6814129579999992,True,6.613556265526729,150.88930401897395,10,0.0,True,False,Ca,Ba2OsO6,1,1.2048974,0.08598875254392624,True,False
mp-758007,Ba2CaP4(H3O8)2,0.0,-2.56185141986453,True,3.4211167779795244,680.1765787950739,58,5.4657,False,False,Ca,BaP2H3O8,1,2.848771,0.08598875254392624,True,False
mp-6635,Ba2CaReO6,0.0001810090000002873,-2.9155346292500006,False,6.517981423522204,152.0769221195082,10,0.0,True,False,Ca,Ba2ReO6,1,1.1008468,0.08598875254392624,True,False
mp-12417,Ba2CaReO6,0.0,-2.9157156382500014,True,6.6656148762757566,148.70864454671502,10,0.0,True,False,Ca,Ba2ReO6,1,1.1008468,0.08598875254392624,True,False
mp-1520564,Ba2CaSeO6,0.0,-2.5497940242343753,True,5.6629405966002,143.5908969776417,10,2.01,False,True,Ca,Ba2SeO6,1,2.4621108,0.08598875254392624,True,False
mp-1019518,Ba2CaSi4(BO7)2,0.0,-3.3124076855797098,True,3.5116278842494677,636.1858817605147,46,4.8764,False,False,Ca,BaSi2BO7,1,2.393172,0.08598875254392624,True,False
mp-550685,Ba2CaTeO6,0.0,-2.7869202976666663,True,5.804636327066835,154.00023183896883,10,3.0122,False,False,Ca,Ba2TeO6,1,1.9364316,0.08598875254392624,True,False
mp-573069,Ba2CaTl2(CuO4)2,0.02152530031482236,-1.8666098764444448,False,6.796121912325687,239.1040028642234,15,0.0,True,False,Ca,BaTlCuO4,1,2.2431264,0.08598875254392624,True,False
mp-632802,Ba2CaTlCu2O7,0.04441317975426706,-1.978087302948718,False,6.541687873191552,192.46192941822596,13,0.0,True,True,Ca,Ba2TlCu2O7,1,3.1457832,0.08598875254392624,True,False
